,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference
0,X-Men 2: Clone Wars,Any%,X-Men 2: Clone Wars - Any%,1251.0,1995,26,12,Sega Genesis,Platformer,,Headgames,SEGA,958.99,BizHawk,292.01,23.34212629896083
1,Kao the Kangaroo,Any%,Kao the Kangaroo - Any%,2125.85,2000,21,9,Dreamcast,3D Platformer,,,,852.3,BizHawk,1273.55,59.90780158524826
2,Mario & Luigi: Superstar Saga,Any%,Mario & Luigi: Superstar Saga - Any%,4436.0,2003,18,11,Game Boy Advance,,,,,3559.35,BizHawk,876.6500000000001,19.762173128944998
3,Black Castle,Any%,Black Castle - Any%,512.0,2020,1,3,Game Boy Color,,,7FH,,453.1,,58.89999999999998,11.503906249999996
4,Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1797.0,1994,27,41,GameCube,Action,,Sonic Team,SEGA,1704.76,,92.24000000000001,5.132999443516972
5,Sonic 3 & Knuckles,Tails,Sonic 3 & Knuckles - Tails,1833.0,1994,27,15,GameCube,Action,,Sonic Team,SEGA,1812.52,,20.480000000000018,1.1172940534642672
6,Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1421.0,1994,27,19,GameCube,Action,,Sonic Team,SEGA,1327.68,Gens,93.31999999999994,6.567206192821951
7,Spider-Man 2,Any%,Spider-Man 2 - Any%,3373.0,2004,17,16,GameCube,Open World,,Treyarch,Activision,860.21,DeSmuME,2512.79,74.49718351615772
8,Tomb Raider,Any%,Tomb Raider - Any%,3409.0,1996,25,45,Sega Saturn,,,,,3139.45,BizHawk,269.5500000000002,7.907010853622769
9,Donkey Kong Country,101%,Donkey Kong Country - 101%,2708.0,1994,27,67,Super Nintendo,Platformer,,Rare,Nintendo,2478.37,BizHawk,229.6300000000001,8.47968980797637
10,Donkey Kong Country,Any%,Donkey Kong Country - Any%,450.333,1994,27,89,Super Nintendo,Platformer,,Rare,Nintendo,444.68,,5.65300000000002,1.2552933051763961
11,The Revenge of Shinobi,Any%,The Revenge of Shinobi - Any%,753.52,1989,32,17,Wii Virtual Console,,,,,718.93,BizHawk,34.59000000000003,4.5904554623633125
12,Ninja Gaiden II: The Dark Sword of Chaos,Any%,Ninja Gaiden II: The Dark Sword of Chaos - Any%,595.9,1990,31,102,Nintendo Entertainment System,,,,,552.17,FCEUX,43.73000000000002,7.338479610672935
13,King's Quest: Quest for the Crown,Any%,King's Quest: Quest for the Crown - Any%,67.0,1983,38,9,MS-DOS,,,,,15.85,,51.15,76.34328358208955
14,Ristar,Any%,Ristar - Any%,1624.0,1995,26,29,GameCube,,,,,1604.15,,19.84999999999991,1.222290640394083
15,Earthworm Jim 2,Any%,Earthworm Jim 2 - Any%,1341.0,1995,26,13,Super Nintendo,,,,,569.91,,771.09,57.50111856823266
