game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher
X-Men 2: Clone Wars,Any%,X-Men 2: Clone Wars - Any%,1251,1995,26,12,Sega Genesis,Platformer,,Headgames,SEGA
X-Men 2: Clone Wars,Single-Character,X-Men 2: Clone Wars - Single-Character,1866,1995,26,8,Sega Genesis,Platformer,,Headgames,SEGA
Kao the Kangaroo,Any%,Kao the Kangaroo - Any%,2125.85,2000,21,9,Dreamcast,3D Platformer,,,
Kao the Kangaroo,100%,Kao the Kangaroo - 100%,4570.8,2000,21,2,Dreamcast,3D Platformer,,,
Solitaire (NES),1 Card Draw,Solitaire (NES) - 1 Card Draw,78,1992,29,13,Nintendo Entertainment System,,,,
Solitaire (NES),3 Card Draw,Solitaire (NES) - 3 Card Draw,79,1992,29,5,Nintendo Entertainment System,,,,
Mario & Luigi: Superstar Saga,Any%,Mario & Luigi: Superstar Saga - Any%,4436,2003,18,11,Game Boy Advance,,,,
Mario & Luigi: Superstar Saga,Glitchless,Mario & Luigi: Superstar Saga - Glitchless,12691,2003,18,10,Game Boy Advance,,,,
Mario & Luigi: Superstar Saga,All Bosses,Mario & Luigi: Superstar Saga - All Bosses,8874,2003,18,4,Game Boy Advance,,,,
Garfield: Caught in the Act,Any% (Genesis/Mega Drive),Garfield: Caught in the Act - Any% (Genesis/Mega Drive),1149,1995,26,6,Sega Genesis,,,,
Garfield: Caught in the Act,Any% (Game Gear),Garfield: Caught in the Act - Any% (Game Gear),1525,1995,26,1,Sega Genesis,,,,
Garfield: Caught in the Act,Any% (PC),Garfield: Caught in the Act - Any% (PC),1471,1995,26,1,Sega Genesis,,,,
Ghosts 'n Goblins,Any% NES (2 loops),Ghosts 'n Goblins - Any% NES (2 loops),1072,1985,36,16,Nintendo Entertainment System,,,,
Ghosts 'n Goblins,Any% NES (1 loop),Ghosts 'n Goblins - Any% NES (1 loop),507,1985,36,15,Nintendo Entertainment System,,,,
Ghosts 'n Goblins,Any% Arcade (2 loops),Ghosts 'n Goblins - Any% Arcade (2 loops),921,1985,36,3,Nintendo Entertainment System,,,,
Final Fantasy,PSP,Final Fantasy - PSP,1134,1987,34,159,Wii Virtual Console,RPG,,Square Enix,
Final Fantasy,GBA,Final Fantasy - GBA,8565,1987,34,30,Wii Virtual Console,RPG,,Square Enix,
Final Fantasy,PS1,Final Fantasy - PS1,9440,1987,34,13,Wii Virtual Console,RPG,,Square Enix,
