,game,category,game+category,time,released_year,age,nb_of_runs,main_platform,main_genre,engine,developer,publisher,TAS_time,emulator,time_difference,%_of_difference,Unpopular,Somehow_Popular,Popular,Very_Popular,Young,Somehow_Old,Old,Very_Old,Short,Somehow_Long,Long,Very_Long
0,X-Men 2: Clone Wars,Any%,X-Men 2: Clone Wars - Any%,1251.0,1995,26,12,Sega Genesis,Platformer,,Headgames,SEGA,958.99,BizHawk,292.01,23.3421262989608,0,0,1,0,1,0,0,0,0,0,1,0
1,Kao the Kangaroo,Any%,Kao the Kangaroo - Any%,1517.0,2000,21,2,Dreamcast,3D Platformer,,,,852.3,BizHawk,664.7,43.8167435728411,1,0,0,0,1,0,0,0,0,0,1,0
2,Mario & Luigi: Superstar Saga,Any%,Mario & Luigi: Superstar Saga - Any%,4436.0,2003,18,11,Game Boy Advance,,,,,3559.35,BizHawk,876.6500000000001,19.762173128945,0,0,1,0,1,0,0,0,0,0,0,1
3,Black Castle,Any%,Black Castle - Any%,512.0,2020,1,3,Game Boy Color,,,7FH,,453.1,,58.89999999999998,11.50390625,1,0,0,0,1,0,0,0,1,0,0,0
4,Sonic 3 & Knuckles,Sonic,Sonic 3 & Knuckles - Sonic,1797.0,1994,27,41,GameCube,Action,,Sonic Team,SEGA,1704.76,,92.24,5.13299944351697,0,0,0,1,0,0,0,1,0,0,1,0
5,Sonic 3 & Knuckles,Tails,Sonic 3 & Knuckles - Tails,1833.0,1994,27,15,GameCube,Action,,Sonic Team,SEGA,1812.52,,20.480000000000015,1.11729405346427,0,0,1,0,1,0,0,0,0,0,1,0
6,Sonic 3 & Knuckles,Knuckles,Sonic 3 & Knuckles - Knuckles,1421.0,1994,27,19,GameCube,Action,,Sonic Team,SEGA,1327.68,Gens,93.31999999999994,6.56720619282195,0,0,1,0,1,0,0,0,0,0,1,0
7,Tomb Raider,Any%,Tomb Raider - Any%,3409.0,1996,25,45,Sega Saturn,,,,,3139.45,BizHawk,269.5500000000002,7.90701085362277,0,0,0,1,0,0,0,1,0,0,0,1
8,Donkey Kong Country,101%,Donkey Kong Country - 101%,2708.0,1994,27,67,Super Nintendo,Platformer,,Rare,Nintendo,2478.37,BizHawk,229.6300000000001,8.47968980797637,0,0,0,1,0,0,0,1,0,0,0,1
9,Donkey Kong Country,Any%,Donkey Kong Country - Any%,450.333,1994,27,89,Super Nintendo,Platformer,,Rare,Nintendo,444.68,,5.65300000000002,1.2552933051764,0,0,0,1,0,0,0,1,1,0,0,0
10,The Revenge of Shinobi,Any%,The Revenge of Shinobi - Any%,753.52,1989,32,17,Wii Virtual Console,,,,,718.93,BizHawk,34.59000000000003,4.59045546236331,0,0,1,0,1,0,0,0,0,1,0,0
11,Ninja Gaiden II: The Dark Sword of Chaos,Any%,Ninja Gaiden II: The Dark Sword of Chaos - Any%,595.9,1990,31,102,Nintendo Entertainment System,,,,,552.17,FCEUX,43.73000000000002,7.33847961067294,0,0,0,1,0,0,0,1,1,0,0,0
12,King's Quest: Quest for the Crown,Any%,King's Quest: Quest for the Crown - Any%,67.0,1983,38,9,MS-DOS,,,,,15.85,,51.15,76.3432835820896,0,0,1,0,1,0,0,0,1,0,0,0
13,Ristar,Any%,Ristar - Any%,1624.0,1995,26,29,GameCube,,,,,1604.15,,19.84999999999991,1.22229064039408,0,0,0,1,0,0,1,0,0,0,1,0
14,Earthworm Jim 2,Any%,Earthworm Jim 2 - Any%,1341.0,1995,26,6,Sega Genesis,,,,,1275.06,,65.9400000000001,4.917225950783,0,1,0,0,1,0,0,0,0,0,1,0
15,Banjo-Kazooie: Grunty's Revenge,Any%,Banjo-Kazooie: Grunty's Revenge - Any%,2678.0,2003,18,18,Game Boy Advance,,,,,2533.32,BizHawk,144.67999999999984,5.40253920836445,0,0,1,0,1,0,0,0,0,0,0,1
16,Kaizo Mario World 3,Any%,Kaizo Mario World 3 - Any%,2357.0,2012,9,2,Super Nintendo,,,,,1031.23,snes9x,1325.77,56.2481968604158,1,0,0,0,1,0,0,0,0,0,0,1
17,Family Dog,Any%,Family Dog - Any%,374.0,1993,28,4,Super Nintendo,,,,,353.73,,20.269999999999985,5.41978609625668,0,1,0,0,1,0,0,0,1,0,0,0
18,Saiyuuki World,Any%,Saiyuuki World - Any%,810.0,1988,33,4,Nintendo Entertainment System,,,,,696.42,,113.58000000000004,14.0222222222222,0,1,0,0,1,0,0,0,0,1,0,0
19,Bio Hazard,Any%,Bio Hazard - Any%,1076.0,2003,18,1,Nintendo Entertainment System,Horror,,Waixing,Waixing,862.13,,213.87,19.8763940520446,1,0,0,0,1,0,0,0,0,1,0,0
20,Demon's Crest,100%,Demon's Crest - 100%,2301.0,1994,27,38,Super Nintendo,side-scrolling Platformer,,Capcom,Capcom,2087.23,,213.77,9.290308561495,0,0,0,1,0,0,0,1,0,0,1,0
21,Star Wars Episode I: Racer,Any%,Star Wars Episode I: Racer - Any%,1917.0,1999,22,23,Nintendo 64,Racing,,LucasArts,LucasArts,1896.75,,20.25,1.05633802816901,0,0,0,1,0,1,0,0,0,0,1,0
22,Donkey Kong Country 2: Diddy's Kong Quest,Any%,Donkey Kong Country 2: Diddy's Kong Quest - Any%,2294.0,1995,26,274,Super Nintendo,Platformer,,Rare,Nintendo,2249.39,BizHawk,44.61000000000013,1.94463818657368,0,0,0,1,0,0,0,1,0,0,1,0
23,Donkey Kong Country 2: Diddy's Kong Quest,102%,Donkey Kong Country 2: Diddy's Kong Quest - 102%,5154.0,1995,26,89,Super Nintendo,Platformer,,Rare,Nintendo,4891.88,,262.1199999999999,5.08575863407062,0,0,0,1,0,0,0,1,0,0,0,1
24,Metroid Fusion,100%,Metroid Fusion - 100%,5754.0,2002,19,82,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,5719.3,,34.69999999999982,0.60305874174487,0,0,0,1,0,0,0,1,0,0,0,1
25,Metroid Fusion,0%,Metroid Fusion - 0%,4654.0,2002,19,5,Game Boy Advance,Action-adventure,,Nintendo R&D1,Nintendo,4406.73,,247.27000000000044,5.31306403094114,0,1,0,0,1,0,0,0,0,0,0,1
26,Plok,Any%,Plok - Any%,1761.0,1993,28,11,Super Nintendo,,,,,1578.52,BizHawk,182.48,10.3622941510505,0,0,1,0,1,0,0,0,0,0,1,0
27,Bugs Bunny in Double Trouble,Any%,Bugs Bunny in Double Trouble - Any%,2280.0,1996,25,1,Sega Genesis,,,,,665.77,,1614.23,70.7995614035088,1,0,0,0,1,0,0,0,0,0,1,0
28,Earnest Evans,Any%,Earnest Evans - Any%,513.0,1991,30,4,Sega Genesis,Platformer,,Wolf Team,Wolf Team,456.54,BizHawk,56.45999999999998,11.0058479532164,0,1,0,0,1,0,0,0,1,0,0,0
29,Super Castlevania IV,Any%,Super Castlevania IV - Any%,1885.0,1991,30,134,Super Nintendo,,,,,1778.08,snes9x,106.92000000000009,5.67214854111406,0,0,0,1,0,0,0,1,0,0,1,0
30,Flicky,Any%,Flicky - Any%,909.0,1991,30,11,GameCube,,,,,880.25,,28.75,3.16281628162816,0,0,1,0,1,0,0,0,0,1,0,0
31,Monkey Magic,Any%,Monkey Magic - Any%,4050.0,2000,21,1,PlayStation,,,,,2426.37,,1623.63,40.0896296296296,1,0,0,0,1,0,0,0,0,0,0,1
32,Sorcerer's Maze,Any%,Sorcerer's Maze - Any%,5187.0,1998,23,2,PlayStation 2,,,,,2702.23,,2484.77,47.9037979564295,1,0,0,0,1,0,0,0,0,0,0,1
