game,category,game+category,TAS_time(seconds)
X-Men 2: Clone Wars,Any%,X-Men 2: Clone Wars - Any%,958.99
Kangaroo,Any%,Kangaroo - Any%,24.55
Solitaire (NES),1 Card Drew,Solitaire (NES) - 1 Card Drew,40.93
Mario & Luigi: Superstar Saga,Any%,Mario & Luigi: Superstar Saga - Any%,3559.35
Garfield: Caught in the Act,Any%,Garfield: Caught in the Act - Any%,1111.68
Ghosts 'n Goblins,Any%,Ghosts 'n Goblins - Any%,484.45
Ghosts 'n Goblins,playaround,Ghosts 'n Goblins - playaround,736.75
Final Fantasy,game end glitch,Final Fantasy - game end glitch,96.47
Final Fantasy,stairs glitch,Final Fantasy - stairs glitch,418.25
The Mysterious Murasame Castle,Any%,The Mysterious Murasame Castle - Any%,589.75
Donkey Kong Country 2: Unveiled,Any%,Donkey Kong Country 2: Unveiled - Any%,2930.44
Pokémon: Gold ,save glitch,Pokémon: Gold  - save glitch,194.16
Pokémon: Silver ,save glitch,Pokémon: Silver  - save glitch,211.22
Pokémon: Crystal ,save glitch,Pokémon: Crystal  - save glitch,235.59
Pokémon: Silver ,Coin Case glitch,Pokémon: Silver  - Coin Case glitch,1839.49
Black Castle,Any%,Black Castle - Any%,453.1
Sonic 3 & Knuckles,"Sonic, 100%","Sonic 3 & Knuckles - Sonic, 100%",3348.8
Midnight Resistance,Any%,Midnight Resistance - Any%,648.4
Spider-Man,Any%,Spider-Man - Any%,1534.27
Hudson's Adventure Island III,Any%,Hudson's Adventure Island III - Any%,1099.92
Catrap,Any%,Catrap - Any%,3437.61
Pokémon: Red ,Catch 'Em All,Pokémon: Red  - Catch 'Em All,678.97
Pokémon: Blue ,Catch 'Em All,Pokémon: Blue  - Catch 'Em All,2275.33
Tomb Raider,all secrets,Tomb Raider - all secrets,3963.01
Donkey Kong,Any%,Donkey Kong - Any%,38.52
Donkey Kong Country,game end glitch,Donkey Kong Country - game end glitch,63.7
Shadow Dancer: The Secret of Shinobi,Any%,Shadow Dancer: The Secret of Shinobi - Any%,772.82
The Revenge of Shinobi,Any%,The Revenge of Shinobi - Any%,718.93
Little Nemo: The Dream Master,Any%,Little Nemo: The Dream Master - Any%,1280.38
California Games,Any%,California Games - Any%,361.12
Valkyrie Profile,best ending,Valkyrie Profile - best ending,8652.48
Tiny Toon Adventures: Buster Busts Loose!,Any%,Tiny Toon Adventures: Buster Busts Loose! - Any%,1128.53
Ninja Gaiden II: The Dark Sword of Chaos,Any%,Ninja Gaiden II: The Dark Sword of Chaos - Any%,552.17
Super Smash Bros.,playaround,Super Smash Bros. - playaround,475.1
Astro-Panic!,Any%,Astro-Panic! - Any%,44.65
Digimon World,Any%,Digimon World - Any%,1007.51
King's Quest: Quest for the Crown,Any%,King's Quest: Quest for the Crown - Any%,15.85
Mega Man Xtreme 2,Extreme mode,Mega Man Xtreme 2 - Extreme mode,1650.36
Tony Hawk's Pro Skater,Any%,Tony Hawk's Pro Skater - Any%,283.28
Ristar,Any%,Ristar - Any%,1604.15
Super Mario Bros.,minimum A presses,Super Mario Bros. - minimum A presses,624.39
Galf,Any%,Galf - Any%,76.91
Ehrgeiz: God Bless the Ring,Quest Mode,Ehrgeiz: God Bless the Ring - Quest Mode,231.77
Earthworm Jim 2,Any%,Earthworm Jim 2 - Any%,569.91
Crash Bandicoot 2: Cortex Strikes Back,item glitch,Crash Bandicoot 2: Cortex Strikes Back - item glitch,694.85
King's Quest V: Absence Makes the Heart Go Yonder!,Any%,King's Quest V: Absence Makes the Heart Go Yonder! - Any%,1859.69
The Wit.nes,Any%,The Wit.nes - Any%,229.17
Shounen Ashibe: Goma-chan no Yuuenchi Daibouken,Any%,Shounen Ashibe: Goma-chan no Yuuenchi Daibouken - Any%,777.84
Kiwi Kraze: A Bird-Brained Adventure!,Any%,Kiwi Kraze: A Bird-Brained Adventure! - Any%,130.93
Keitai Denjuu Telefang: Speed Version,game end glitch,Keitai Denjuu Telefang: Speed Version - game end glitch,315.98
Keitai Denjuu Telefang: Speed Version,warp glitch,Keitai Denjuu Telefang: Speed Version - warp glitch,432.5
Blood Omen: Legacy of Kain,Any%,Blood Omen: Legacy of Kain - Any%,858.42
Banjo-Kazooie: Grunty's Revenge,Any%,Banjo-Kazooie: Grunty's Revenge - Any%,2533.32
ToeJam and Earl in Panic on Funkotron,best ending,ToeJam and Earl in Panic on Funkotron - best ending,2963.95
Kaizo Mario World 3,Any%,Kaizo Mario World 3 - Any%,1031.23
Family Dog,Any%,Family Dog - Any%,353.73
AMOK!,Any%,AMOK! - Any%,144.55
Seaquest,Any%,Seaquest - Any%,1021.97
China Warrior,Any%,China Warrior - Any%,723.53
Lucky Luke,Any%,Lucky Luke - Any%,1448.34
Chameleon Twist,Any%,Chameleon Twist - Any%,664.37
Bébé's Kids,Any%,Bébé's Kids - Any%,498.35
Spider-Man,100%,Spider-Man - 100%,1776.08
Harry Potter and the Sorcerer's Stone,game end glitch,Harry Potter and the Sorcerer's Stone - game end glitch,132.03
Harry Potter and the Sorcerer's Stone,Any%,Harry Potter and the Sorcerer's Stone - Any%,3377.96
Beavis and Butt-Head,Any%,Beavis and Butt-Head - Any%,569.37
Zelda II: The Adventure of Link,100%,Zelda II: The Adventure of Link - 100%,3760.84
Super Cobra,Any%,Super Cobra - Any%,226.25
Lethal Enforcers,Any%,Lethal Enforcers - Any%,2110.31
Saiyuuki World,Any%,Saiyuuki World - Any%,696.42
Tower of Doom,Any%,Tower of Doom - Any%,411.15
Taz-Mania,Any%,Taz-Mania - Any%,396.37
Teenage Mutant Ninja Turtles III: The Manhattan Project,2 players,Teenage Mutant Ninja Turtles III: The Manhattan Project - 2 players,1616.29
Teenage Mutant Ninja Turtles III: The Manhattan Project,1 player,Teenage Mutant Ninja Turtles III: The Manhattan Project - 1 player,2026.0
Shaman King: Master of Spirits,Any%,Shaman King: Master of Spirits - Any%,3866.03
Space Battle,Any%,Space Battle - Any%,27.19
Fushigi no Dungeon: Fuurai no Shiren GB2: Sabaku no Majou,Any%,Fushigi no Dungeon: Fuurai no Shiren GB2: Sabaku no Majou - Any%,3055.62
Alien 3,Any%,Alien 3 - Any%,6630.46
Star Strike,Any%,Star Strike - Any%,34.2
Adventures of Tom Sawyer,Any%,Adventures of Tom Sawyer - Any%,599.89
Golden Sun,Any%,Golden Sun - Any%,10178.54
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikage Mura no Kaibutsu,game end glitch,Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikage Mura no Kaibutsu - game end glitch,14.82
Mega Man 2,Any%,Mega Man 2 - Any%,1418.98
Zombies Ate My Neighbors,1 player,Zombies Ate My Neighbors - 1 player,1370.71
Spider-Man,Green Goblin,Spider-Man - Green Goblin,1400.28
Mega Man & Bass,100 CDs,Mega Man & Bass - 100 CDs,2287.68
Contra,1 player,Contra - 1 player,529.45
Bio Hazard,Any%,Bio Hazard - Any%,862.13
Demon's Crest,Any%,Demon's Crest - Any%,631.88
Treasure Master,Any%,Treasure Master - Any%,1155.8
Donkey Kong Country,101%,Donkey Kong Country - 101%,2478.37
Gex 3: Deep Cover Gecko,Any%,Gex 3: Deep Cover Gecko - Any%,3256.25
Blaster Master,all bosses,Blaster Master - all bosses,1830.37
Flywrench,Any%,Flywrench - Any%,1182.23
Over the Hedge,100%,Over the Hedge - 100%,1314.06
Blaster Master,Any%,Blaster Master - Any%,265.44
Star Wars Episode I: Racer,Any%,Star Wars Episode I: Racer - Any%,1896.75
Ninja Gaiden,Any%,Ninja Gaiden - Any%,436.63
Metroid Super ZeroMission,101%,Metroid Super ZeroMission - 101%,4770.64
Darkwing Duck,Any%,Darkwing Duck - Any%,659.5
Donkey Kong Country 2: Diddy's Kong Quest,Any%,Donkey Kong Country 2: Diddy's Kong Quest - Any%,2249.39
Donkey Kong Junior,Any%,Donkey Kong Junior - Any%,95.36
Teenage Mutant Ninja Turtles II: The Arcade Game,1 player,Teenage Mutant Ninja Turtles II: The Arcade Game - 1 player,1623.42
Super Mario Bros. 2,warps,Super Mario Bros. 2 - warps,461.16
Metroid Fusion,Any%,Metroid Fusion - Any%,4339.31
Metroid Fusion,0%,Metroid Fusion - 0%,4406.73
Kir,Any%,Kir - Any%,2516.17
Plok,all levels,Plok - all levels,2481.83
Bugs Bunny in Double Trouble,Any%,Bugs Bunny in Double Trouble - Any%,665.77
Castlevania Chronicles,Any%,Castlevania Chronicles - Any%,1556.02
Knuckles in Sonic the Hedgehog,no zips,Knuckles in Sonic the Hedgehog - no zips,904.28
Knuckles in Sonic the Hedgehog,Any%,Knuckles in Sonic the Hedgehog - Any%,785.29
Sonic the Hedgehog,no zips,Sonic the Hedgehog - no zips,1056.58
Pokémon Pinball: Ru,Sapphire Field,Pokémon Pinball: Ru - Sapphire Field,521.69
PBA Bowling,Pick-Up Spares,PBA Bowling - Pick-Up Spares,145.68
J. J. Squawkers,Any%,J. J. Squawkers - Any%,449.75
Super Mario World,"no powerups, maximum exits","Super Mario World - no powerups, maximum exits",4703.22
Daiku no Gen-san: Robot Teikoku no Yabou,Any%,Daiku no Gen-san: Robot Teikoku no Yabou - Any%,747.23
