game,category,game+category,TAS_time(seconds),emulator
NES Mega Man 2,Any%,NES Mega Man 2 - Any%,1418.98,FCEUX
GBA Castlevania: Aria of Sorrow,Julius mode all bosses,GBA Castlevania: Aria of Sorrow - Julius mode all bosses,712.03,VBA
GBC Pokémon: Yellow Version,game end glitch,GBC Pokémon: Yellow Version - game end glitch,587.92,BizHawk
SNES Super Mario World 2: Yoshi's Island,100%,SNES Super Mario World 2: Yoshi's Island - 100%,7175.12,snes9x
NES Super Mario Bros. 3,arbitrary code execution,NES Super Mario Bros. 3 - arbitrary code execution,496.23,FCEUX
SNES Super Mario World,all 96 exits,SNES Super Mario World - all 96 exits,4477.63,snes9x
SNES The Legend of Zelda: A Link to the Past,Any%,SNES The Legend of Zelda: A Link to the Past - Any%,4571.05,snes9x
N64 Super Mario 64,all 120 stars,N64 Super Mario 64 - all 120 stars,4841.52,Mupen64
SNES Super Mario World,all 96 exits,SNES Super Mario World - all 96 exits,4477.63,snes9x
N64 Mario Kart 64,Any%,N64 Mario Kart 64 - Any%,1233.32,BizHawk
Genesis Sonic 3 & Knuckles,Knuckles,Genesis Sonic 3 & Knuckles - Knuckles,1327.68,Gens
N64 Super Mario 64,all 120 stars,N64 Super Mario 64 - all 120 stars,4841.52,Mupen64
GC 007: Nightfire,Any%,GC 007: Nightfire - Any%,2022.82,Dolphin
SNES Mega Man & Bass,Mega Man,SNES Mega Man & Bass - Mega Man,1641.47,snes9x
SNES Super Metroid,Any%,SNES Super Metroid - Any%,2158.31,lsnes
Linux Celeste,100%,Linux Celeste - 100%,5256.12,libTAS
SNES Super Mario World,all 96 exits,SNES Super Mario World - all 96 exits,4477.63,snes9x
N64 The Legend of Zelda: Majora's Mask,low%,N64 The Legend of Zelda: Majora's Mask - low%,7141.88,BizHawk
Arcade Metal Slug 3,Any%,Arcade Metal Slug 3 - Any%,1467.8,Final
SNES Super Metroid,Any%,SNES Super Metroid - Any%,2158.31,lsnes
NES Contra,1 player,NES Contra - 1 player,529.45,FCEUX
PSX Castlevania: Symphony of the Night,pacifist low level,PSX Castlevania: Symphony of the Night - pacifist low level,1268.62,PSXjin
