game,category,game+category,time(seconds),released_year,nb_of_runs,main_platform,main_genre,engine,developer,publisher,nb_of_platforms,nb_of_genres
Castlevania: Aria of Sorrow,Soma Any% No 0HP,Castlevania: Aria of Sorrow - Soma Any% No 0HP,737,2003,77,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Soma Any%,Castlevania: Aria of Sorrow - Soma Any%,464,2003,7,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Soma All Bosses,Castlevania: Aria of Sorrow - Soma All Bosses,1085,2003,17,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Soma Glitchless,Castlevania: Aria of Sorrow - Soma Glitchless,1589,2003,34,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Julius Any%,Castlevania: Aria of Sorrow - Julius Any%,303,2003,8,Game Boy Advance,Metroidvania,,,,4,1
Castlevania: Aria of Sorrow,Julius All Bosses,Castlevania: Aria of Sorrow - Julius All Bosses,811,2003,25,Game Boy Advance,Metroidvania,,,,4,1
Pokémon Yellow,Any% Glitchless,Pokémon Yellow - Any% Glitchless,6817,1998,133,Game Boy Color,,,,,7,
Pokémon Yellow,Any% Glitchless (Classic),Pokémon Yellow - Any% Glitchless (Classic),7169,1998,23,Game Boy Color,,,,,7,
Pokémon Yellow,Any% No Save Corruption,Pokémon Yellow - Any% No Save Corruption,761,1998,51,Game Boy Color,,,,,7,
Pokémon Yellow,Any%,Pokémon Yellow - Any%,78.694,1998,21,Game Boy Color,,,,,7,
Super Mario World 2: Yoshi's Island,Warpless,Super Mario World 2: Yoshi's Island - Warpless,6053,1995,213,Super Nintendo,Platformer,,,Nintendo,3,1
Super Mario World 2: Yoshi's Island,100%,Super Mario World 2: Yoshi's Island - 100%,8482,1995,56,Super Nintendo,Platformer,,,Nintendo,3,1
Super Mario World 2: Yoshi's Island,Warps,Super Mario World 2: Yoshi's Island - Warps,5743,1995,129,Super Nintendo,Platformer,,,Nintendo,3,1
Super Mario World 2: Yoshi's Island,Any%,Super Mario World 2: Yoshi's Island - Any%,139.217,1995,27,Super Nintendo,Platformer,,,Nintendo,3,1
