,game,TAS_time(seconds),category,emulator
0,NES Mega Man 2,1418.98,Any%,FCEUX
1,GBA Castlevania: Aria of Sorrow,712.03,"Julius mode, all bosses",VBA
2,GBC Pokémon: Yellow Version,587.92,game end glitch,BizHawk
3,SNES Super Mario World 2: Yoshi's Island,7175.12,100%,snes9x
4,NES Super Mario Bros. 3,496.23,arbitrary code execution,FCEUX
5,SNES Super Mario World,4477.63,all 96 exits,snes9x
6,SNES The Legend of Zelda: A Link to the Past,4571.05,Any%,snes9x
7,N64 Super Mario 64,4841.52,all 120 stars,Mupen64
8,SNES Super Mario World,4477.63,all 96 exits,snes9x
9,N64 Mario Kart 64,1233.32,Any%,BizHawk
10,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
11,N64 Super Mario 64,4841.52,all 120 stars,Mupen64
12,GC 007: Nightfire,2022.82,Any%,Dolphin
13,SNES Mega Man vohejnvehiufzjejnd Bass,1641.47,Mega Man,snes9x
14,SNES Super Metroid,2158.31,Any%,lsnes
15,Linux Celeste,5256.12,100%,libTAS
16,SNES Super Mario World,4477.63,all 96 exits,snes9x
17,N64 The Legend of Zelda: Majora's Mask,7141.88,low%,BizHawk
18,Arcade Metal Slug 3,1467.8,Any%,Final
19,SNES Super Metroid,2158.31,Any%,lsnes
20,NES Contra,529.45,1 player,FCEUX
21,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
22,N64 F-Zero X,429.37,"Jack Cup, Time Trial",BizHawk
23,NES Super Mario Bros. 2,1109.26,warpless,FCEUX
24,GBC The Legend of Zelda: Link's Awakening DX,313.06,warp glitch,BizHawk
25,NES Zelda II: The Adventure of Link,331.89,warp glitch,BizHawk
26,DS Castlevania: Dawn of Sorrow,2108.59,all souls,DeSmuME
27,SNES Donkey Kong Country,2469.1,"all stages, walkathon",BizHawk
28,SNES Mega Man vohejnvehiufzjejnd Bass,1641.47,Mega Man,snes9x
29,NES Castlevania,667.52,"pacifist, minimalist",BizHawk
30,SNES Donkey Kong Country 2: Diddy's Kong Quest,2249.39,Any%,BizHawk
31,DS Castlevania: Portrait of Ruin,1017.28,Richter mode,DeSmuME
32,Genesis Crusader of Centy,1750.77,Any%,BizHawk
33,FDS Super Mario Bros. 2,484.83,"warps, Mario",FCEUX
34,NES Super Mario Bros. 3,496.23,arbitrary code execution,FCEUX
35,Wii Super Smash Bros. Brawl,4205.6,"The Subspace Emissary, 1 player",Dolphin
36,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
37,GC Super Mario Sunshine,4112.58,Any%,Dolphin
38,Arcade Magician Lord,437.73,Any%,Final
39,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
40,NES Super Mario Bros.,1519.23,"warpless, walkathon",FCEUX
41,NES Bionic Commando,745.62,Any%,BizHawk
42,GC Sonic Adventure DX: Director's Cut,1374.02,Tails,Dolphin
43,N64 The Legend of Zelda: Ocarina of Time,6149.53,"All Dungeons, Temples & Ganon Trials",Mupen64
44,N64 The Legend of Zelda: Ocarina of Time,6149.53,"All Dungeons, Temples & Ganon Trials",Mupen64
45,PSX Tomb Raider,3963.01,all secrets,BizHawk
46,DS Castlevania: Portrait of Ruin,1017.28,Richter mode,DeSmuME
47,NES Contra,517.76,2 players,FCEUX
48,PSX Spyro: Year of the Dragon,8874.15,117%,PSXjin
49,NES Mega Man 4,1922.6,Any%,FCEUX
50,GBA Metroid: Zero Mission,2082.27,low%,VBA
51,NES Battletoads,1298.38,"warpless, 1 player",FCEUX
52,SNES Donkey Kong Country 2: Diddy's Kong Quest,2249.39,Any%,BizHawk
53,SNES Tiny Toon Adventures: Buster Busts Loose!,1128.53,Any%,BizHawk
54,NES Shadow of the Ninja,505.3,2 players,FCEUX
55,SNES Mega Man vohejnvehiufzjejnd Bass,1641.47,Mega Man,snes9x
56,Linux Celeste,5256.12,100%,libTAS
57,DS New Super Mario Bros.,2374.6,warpless,DeSmuME
58,PSX Tomb Raider II: Starring Lara Croft,5270.03,glitchless,BizHawk
59,SNES Super Demo World: The Legend Continues,1012.9,warps,lsnes
60,NES The Legend of Zelda,1499.83,2nd quest,FCEUX
61,Windows Cave Story,3010.3,best ending,Hourglass
62,Genesis Knuckles in Sonic the Hedgehog 2,2701.63,ring attack,Gens
63,Windows VVVVVV,45.33,game end glitch,Hourglass
64,Arcade Final Fight,811.15,Any%,Final
65,Windows I Wanna Be The Boshy,,,
66,SNES Super Demo World: The Legend Continues,1012.9,warps,lsnes
67,NES Super Mario Bros. 3,496.23,arbitrary code execution,FCEUX
68,N64 The Legend of Zelda: Ocarina of Time,6149.53,"All Dungeons, Temples & Ganon Trials",Mupen64
69,NES Metroid,668.78,low%,FCEUX
70,PSX Rayman,3798.69,Any%,BizHawk
71,N64 Super Mario 64,2578.52,"70 stars, no Backwards Long Jump",Mupen64
72,N64 Bomberman 64,1418.55,Any%,Mupen64
73,GBA Dragon Ball: Advanced Adventure,1947.56,Any%,BizHawk
74,SNES The Legend of Zelda: A Link to the Past,4571.05,Any%,snes9x
75,NES Super Mario Bros. 2,461.16,warps,FCEUX
76,GC Super Monkey Ball,775.18,Expert through Master,Dolphin
77,GBA Sonic Advance 2,1232.08,Knuckles,VBA
78,NES Mega Man 2,1636.17,zipless,FCEUX
79,Genesis Donald in Maui Mallard,,,
80,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
81,NES Battletoads,1298.38,"warpless, 1 player",FCEUX
82,NES Arkanoid,671.18,warpless,BizHawk
83,NES Dragon Warrior,1019.57,Any%,FCEUX
84,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
85,Genesis Sonic 3 vohejnvehiufzjejnd Knuckles,1327.68,Knuckles,Gens
86,NES Ninja Gaiden,650.36,Any%,FCEUX
87,SNES Super Mario World,4477.63,all 96 exits,snes9x
88,Linux Axiom Verge,1488.86,Any%,libTAS
89,NES The Krion Conquest,732.74,Any%,FCEUX
90,NES Super Mario Bros. 3,496.23,arbitrary code execution,FCEUX
91,Genesis The Lost Vikings,1649.34,Any%,Gens
92,SNES Super Mario All-Stars: The Lost Levels,2076.61,"warpless, Mario",BizHawk
93,SNES Kirby's Dream Land 3,3841.22,best ending,BizHawk
94,GBA Ninja Five-O,966.98,Any%,BizHawk
95,GBA Metroid: Zero Mission,2082.27,low%,VBA
96,SNES Super Metroid,2158.31,Any%,lsnes
97,SNES The Mask,326.55,Any%,lsnes
98,GBA Metroid Fusion,4339.31,Any%,BizHawk
99,N64 Paper Mario,9033.83,All Cards,BizHawk
100,SNES International Superstar Soccer Deluxe,924.38,playaround,snes9x
101,GC Super Smash Bros. Melee,522.75,Adventure Mode,Dolphin
102,Linux Shovel Knight,1630.67,King of Cards,libTAS
103,GBA Castlevania: Aria of Sorrow,712.03,"Julius mode, all bosses",VBA
104,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
105,NES Super Mario Bros.,1519.23,"warpless, walkathon",FCEUX
106,GBA Metroid: Zero Mission,2082.27,low%,VBA
107,PSX Castlevania: Symphony of the Night,1268.62,"pacifist, low level",PSXjin
108,SNES Kaizo Mario World 3,1031.23,Any%,snes9x
109,GBA Castlevania: Harmony of Dissonance,471.27,"Simon, Hard, Boss Rush",VBA
110,GC Paper Mario: The Thousand-Year Door,6429.03,Any%,Dolphin
111,Linux SteamWorld Dig 2,1091.87,Any%,libTAS
112,NES Super C,685.49,2 players,FCEUX
113,SNES Mega Man X2,1977.64,100%,BizHawk
114,GBA Sonic Advance,925.8,Amy,VBA
115,SNES Ultimate Mortal Kombat 3,1828.38,playaround,snes9x
116,NES Super Mario Bros. 2,461.16,warps,FCEUX
117,Genesis Sonic the Hedgehog 2,1060.08,Any%,Gens
